class_or_average,precision,recall,f1-score,support
World,0.9654071314529005,0.9547368421052631,0.960042339243186,1900.0
Sports,0.9884514435695538,0.9910526315789474,0.9897503285151117,1900.0
Business,0.935973955507325,0.9078947368421053,0.9217205450173658,1900.0
Sci/Tech,0.9118094272681196,0.9468421052631579,0.9289956106377485,1900.0
accuracy,0.9501315789473684,0.9501315789473684,0.9501315789473684,0.9501315789473684
macro avg,0.9504104894494747,0.9501315789473684,0.950127205853353,7600.0
weighted avg,0.9504104894494747,0.9501315789473684,0.950127205853353,7600.0
