epoch,train_loss,validation_accuracy,validation_macro_f1,validation_weighted_f1
1,0.6030583984014828,0.8892502710366108,0.8891760097241266,0.8891906551699703
2,0.32421737656695077,0.8941706279709782,0.8938482459479254,0.8938608682268496
3,0.248874886269462,0.9087649070135936,0.9086275534387216,0.9086389111202415
4,0.20224965180678345,0.9075139688099408,0.9073541297593437,0.9073659011745597
5,0.1661831747230405,0.9120173463430906,0.911916108488974,0.9119265252875377
