class_or_average,precision,recall,f1-score,support
World,0.9163987138263665,0.9,0.9081253319171535,1900.0
Sports,0.9515962924819773,0.9726315789473684,0.9619989588755856,1900.0
Business,0.886448848419925,0.8710526315789474,0.8786833023626228,1900.0
Sci/Tech,0.8831168831168831,0.8947368421052632,0.8888888888888888,1900.0
accuracy,0.9096052631578947,0.9096052631578947,0.9096052631578947,0.9096052631578947
macro avg,0.9093901844612879,0.9096052631578948,0.9094241205110627,7600.0
weighted avg,0.9093901844612879,0.9096052631578947,0.9094241205110626,7600.0
